resource,endpoint,predicate,count,provider
http://bnb.data.bl.uk/id/person,data.open.ac.uk,schema:deathDate,43,BNB
http://bnb.data.bl.uk/id/resource,data.open.ac.uk,dcterms:title,51,BNB
http://bnb.data.bl.uk/id/resource,data.open.ac.uk,dcterms:issued,48,BNB
http://bnb.data.bl.uk/id/organization,semantic.ckan.net,rdf:type,2,BNB
http://bnb.data.bl.uk/id/person,data.open.ac.uk,mo:composer,381,BNB
http://bnb.data.bl.uk/id/person,data.open.ac.uk,led:has_social_status,40,BNB
http://bnb.data.bl.uk/id/resource,data.open.ac.uk,led:is_reported_in,374,BNB
http://bnb.data.bl.uk/id/resource,data.open.ac.uk,schema:author,31,BNB
http://bnb.data.bl.uk/id/resource,data.open.ac.uk,bibo:status,33,BNB
http://bnb.data.bl.uk/id/resource,data.open.ac.uk,bibo:place,52,BNB
http://bnb.data.bl.uk/id/resource,data.open.ac.uk,bibo:volume,6,BNB
http://bnb.data.bl.uk/id/person,data.open.ac.uk,bibo:translator,11,BNB
http://bnb.data.bl.uk/id/person,data.open.ac.uk,event:agent,1112,BNB
http://bnb.data.bl.uk/id/agent,data.open.ac.uk,rdfs:label,57,BNB
http://bnb.data.bl.uk/id/person,data.open.ac.uk,foaf:familyName,66,BNB
http://bnb.data.bl.uk/id/resource,data.open.ac.uk,led:hasSourceType,31,BNB
http://bnb.data.bl.uk/id/person,data.open.ac.uk,rdfs:label,431,BNB
http://bnb.data.bl.uk/id/place,data.open.ac.uk,bibo:place,42,BNB
http://bnb.data.bl.uk/id/place,data.open.ac.uk,rdfs:label,15,BNB
http://bnb.data.bl.uk/id/person,data.open.ac.uk,foaf:gender,58,BNB
http://bnb.data.bl.uk/id/agent,data.open.ac.uk,rdf:type,21,BNB
http://bnb.data.bl.uk/id/agent,data.open.ac.uk,mo:instrument,33,BNB
http://bnb.data.bl.uk/id/person,data.open.ac.uk,schema:author,242,BNB
http://bnb.data.bl.uk/id/person,data.open.ac.uk,schema:deathPlace,34,BNB
http://bnb.data.bl.uk/id/organization,data.open.ac.uk,rdf:type,3,BNB
http://bnb.data.bl.uk/id/resource,data.open.ac.uk,rdf:type,62,BNB
http://bnb.data.bl.uk/id/resource,data.open.ac.uk,bibo:isbn,44,BNB
http://bnb.data.bl.uk/id/person,data.open.ac.uk,schema:birthPlace,38,BNB
http://bnb.data.bl.uk/id/person,data.open.ac.uk,bibo:editor,116,BNB
http://bnb.data.bl.uk/id/person,data.open.ac.uk,schema:birthDate,52,BNB
http://bnb.data.bl.uk/id/resource,data.open.ac.uk,rdfs:comment,19,BNB
http://bnb.data.bl.uk/id/organization,data.open.ac.uk,bibo:editor,3,BNB
http://bnb.data.bl.uk/id/resource,data.open.ac.uk,rdfs:label,58,BNB
